,平均房间数,房价
467,6.003,19.1
468,5.926,19.1
469,5.713,20.1
470,6.167,19.9
471,6.229,19.6
472,6.437,23.2
473,6.98,29.8
474,5.427,13.8
475,6.162,13.3
476,6.484,16.7
477,5.304,12.0
478,6.185,14.6
479,6.229,21.4
480,6.242,23.0
481,6.75,23.7
482,7.061,25.0
483,5.762,21.8
484,5.871,20.6
485,6.312,21.2
486,6.114,19.1
487,5.905,20.6
488,5.454,15.2
489,5.414,7.0
490,5.093,8.1
491,5.983,13.6
492,5.983,20.1
493,5.707,21.8
494,5.926,24.5
495,5.67,23.1
496,5.39,19.7
497,5.794,18.3
498,6.019,21.2
499,5.569,17.5
500,6.027,16.8
501,6.593,22.4
502,6.12,20.6
503,6.976,23.9
504,6.794,22.0
505,6.03,11.9
